Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-12-14,SBIN,EQ,199.2,200.4,205.4,197.0,197.25,198.1,202.36,2546374,5.1528634205e+13,,,
2000-12-15,SBIN,EQ,198.1,197.3,198.3,190.5,191.25,191.7,194.61,1037558,2.0192314185e+13,,,
2000-12-18,SBIN,EQ,191.7,190.0,192.0,187.1,191.5,190.65,189.69,836701,1.587138652e+13,,,
2000-12-19,SBIN,EQ,190.65,191.5,198.4,191.5,196.9,196.55,195.25,2157484,4.2123822315e+13,,,
2000-12-20,SBIN,EQ,196.55,195.2,200.8,193.6,196.75,196.5,197.19,1896601,3.73992655e+13,,,
2000-12-21,SBIN,EQ,196.5,196.15,196.15,191.85,194.2,193.35,193.97,666839,1.293460561e+13,,,
2000-12-22,SBIN,EQ,193.35,194.5,196.0,186.0,188.0,187.65,190.87,1053768,2.011317078e+13,,,
2000-12-26,SBIN,EQ,187.65,189.9,190.7,181.0,182.5,183.25,186.03,777657,1.44669618e+13,,,
2000-12-27,SBIN,EQ,183.25,182.95,185.5,180.0,184.0,183.2,183.47,506795,9.298319825e+12,,,
2000-12-28,SBIN,EQ,183.2,185.9,189.5,185.1,189.4,188.3,187.82,784220,1.4729538255e+13,,,
2000-12-29,SBIN,EQ,188.3,189.5,193.5,187.25,192.5,192.65,190.9,1090508,2.0817634745e+13,,,
2001-01-01,SBIN,EQ,192.65,193.55,197.8,191.1,195.65,195.0,195.28,1060252,2.070510807e+13,,,
2001-01-02,SBIN,EQ,195.0,197.6,209.0,195.15,209.0,205.8,202.15,2016036,4.0754423605e+13,,,
2001-01-03,SBIN,EQ,205.8,206.0,220.45,205.1,216.5,217.3,214.19,5582579,1.1957450451e+14,,,
2001-01-04,SBIN,EQ,217.3,218.4,221.0,209.25,213.7,212.65,214.36,2779351,5.957701591e+13,,,
2001-01-05,SBIN,EQ,212.65,212.7,218.4,210.65,214.0,214.95,215.22,2795495,6.0164470055e+13,,,
2001-01-08,SBIN,EQ,214.95,213.0,217.7,211.25,212.25,212.75,214.24,1305307,2.7965510575e+13,,,
2001-01-09,SBIN,EQ,212.75,212.25,214.9,208.4,209.55,209.45,210.43,1175862,2.4744019335e+13,,,
2001-01-10,SBIN,EQ,209.45,210.5,221.75,210.0,216.6,216.75,216.9,3100928,6.72605432e+13,,,
2001-01-11,SBIN,EQ,216.75,217.5,219.4,213.6,216.65,215.75,216.14,2586274,5.5899559545e+13,,,
2001-01-12,SBIN,EQ,215.75,217.5,224.4,216.0,221.25,220.85,221.82,3928931,8.7150337005e+13,,,
2001-01-15,SBIN,EQ,220.85,222.8,225.9,218.7,220.9,220.7,223.39,3223267,7.200300734e+13,,,
2001-01-16,SBIN,EQ,220.7,222.4,223.9,218.0,221.8,222.2,221.28,2540893,5.6223726695e+13,,,
2001-01-17,SBIN,EQ,222.2,223.0,223.0,216.6,217.15,218.0,220.08,1513887,3.3318180975e+13,,,
2001-01-18,SBIN,EQ,218.0,216.6,220.4,214.1,217.0,218.8,217.63,1446058,3.147021812e+13,,,
2001-01-19,SBIN,EQ,218.8,219.95,220.7,218.0,220.25,219.6,219.65,991831,2.17859062e+13,,,
2001-01-22,SBIN,EQ,219.6,220.7,224.05,219.25,220.25,219.9,221.66,1312706,2.9097456305e+13,,,
2001-01-23,SBIN,EQ,219.9,220.6,236.0,220.0,228.35,227.2,228.74,3003180,6.869383764e+13,,,
2001-01-24,SBIN,EQ,227.2,232.0,232.0,224.35,226.4,226.05,226.19,1800243,4.0720563585e+13,,,
2001-01-25,SBIN,EQ,226.05,227.2,236.5,227.05,235.5,234.15,234.03,5297145,1.2396953619e+14,,,
2001-01-29,SBIN,EQ,234.15,233.0,233.0,220.0,228.85,229.0,229.43,2511707,5.762572414e+13,,,
2001-01-30,SBIN,EQ,229.0,230.75,231.5,228.0,229.85,230.1,229.99,2150782,4.946490431e+13,,,
2001-01-31,SBIN,EQ,230.1,229.0,237.0,225.1,229.7,230.5,232.63,4597600,1.06953784195e+14,,,
2001-02-01,SBIN,EQ,230.5,229.1,234.85,225.7,225.7,228.15,229.23,3852714,8.831659896e+13,,,
2001-02-02,SBIN,EQ,228.15,225.4,236.5,225.25,233.85,234.5,233.81,3689823,8.6271139065e+13,,,
2001-02-05,SBIN,EQ,234.5,235.0,242.75,233.0,239.0,239.65,240.32,3442879,8.2739879795e+13,,,
2001-02-06,SBIN,EQ,239.65,241.0,241.5,235.35,235.9,235.9,237.03,2620741,6.211868186e+13,,,
2001-02-07,SBIN,EQ,235.9,237.5,240.5,232.55,237.0,237.55,238.01,2873878,6.8401208805e+13,,,
2001-02-08,SBIN,EQ,237.55,237.6,248.0,236.1,247.55,246.4,243.08,4544112,1.10460141745e+14,,,
2001-02-09,SBIN,EQ,246.4,248.0,261.9,247.55,256.0,256.7,256.5,6555966,1.6815726119e+14,,,
